date,sample_ID,site_ID,light_dark,run_block,umol.hr,chamber_channel,Temp.C
2026-07-31,S1.3_RUN1,S1,DARK,K_RUN1,-0.7143199412654404,1,26.9048375
2026-07-31,S3.2_RUN1,S3,DARK,K_RUN1,3.839723992984976,2,27.03726875
2026-07-31,S2.3_RUN1,S2,DARK,K_RUN1,37.652208403361016,3,26.8434125
2026-07-31,BLANK_RUN1,BLANK1,DARK,K_RUN1,95.24545487512519,4,26.84739375
2026-07-31,S3.1_RUN1,S3,DARK,K_RUN1,74.132899398705,5,26.86368125
2026-07-31,S1.2_RUN1,S1,DARK,K_RUN1,-418.35135467551345,6,27.019825
2026-07-31,S3.3_RUN1,S3,DARK,K_RUN1,141.7696693779904,7,27.07469375
2026-07-31,S2.1_RUN1,S2,DARK,K_RUN1,9.74288489852281,8,26.9589
2026-07-31,S1.1_RUN1,S1,DARK,K_RUN1,-2.37303207497785,9,26.857675
2026-07-31,S2.2_RUN1,S2,DARK,K_RUN1,-7.63150051086473,10,27.0826625
2026-07-31,S1.3_RUN1,S1,LIGHT,K_RUN1,1.9695095121951145,1,26.73781451612903
2026-07-31,S3.2_RUN1,S3,LIGHT,K_RUN1,1.1957471035940788,2,26.865241935483873
2026-07-31,S2.3_RUN1,S2,LIGHT,K_RUN1,2.3513917547568672,3,26.623725806451613
2026-07-31,BLANK_RUN1,BLANK1,LIGHT,K_RUN1,-17.3866553263287,4,26.692064516129033
2026-07-31,S3.1_RUN1,S3,LIGHT,K_RUN1,0.7915010318949652,5,26.739290322580644
2026-07-31,S1.2_RUN1,S1,LIGHT,K_RUN1,1.1161443243243327,6,26.887951612903223
2026-07-31,S3.3_RUN1,S3,LIGHT,K_RUN1,-2.64266918918914,7,26.893
2026-07-31,S2.1_RUN1,S2,LIGHT,K_RUN1,0.19868879492605646,8,26.78690322580645
2026-07-31,S1.1_RUN1,S1,LIGHT,K_RUN1,-4.7071505315379385,9,26.71116129032258
2026-07-31,S2.2_RUN1,S2,LIGHT,K_RUN1,0.4434917647059069,10,26.93358870967742
