date,start_time,stop_time,site_ID,sample_ID,FileID_csv,light_dark,run_block,chamber_channel
7/31/26,19:00:00,23:00:00,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,DARK,K_RUN1,1
7/31/26,19:00:00,23:00:00,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,DARK,K_RUN1,2
7/31/26,19:00:00,23:00:00,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,DARK,K_RUN1,3
7/31/26,19:00:00,23:00:00,BLANK1,BLANK_RUN1,BLANK_O2.csv,DARK,K_RUN1,4
7/31/26,19:00:00,23:00:00,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,DARK,K_RUN1,5
7/31/26,19:00:00,23:00:00,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,DARK,K_RUN1,6
7/31/26,19:00:00,23:00:00,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,,K_RUN1,7
7/31/26,19:00:00,23:00:00,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,DARK,K_RUN1,8
7/31/26,19:00:00,23:00:00,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,DARK,K_RUN1,9
7/31/26,19:00:00,23:00:00,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,DARK,K_RUN1,10
7/31/26,12:00:00,16:00:00,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,LIGHT,K_RUN1,1
7/31/26,12:00:00,16:00:00,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,LIGHT,K_RUN1,2
7/31/26,12:00:00,16:00:00,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,LIGHT,K_RUN1,3
7/31/26,12:00:00,16:00:00,BLANK1,BLANK_RUN1,BLANK_O2.csv,LIGHT,K_RUN1,4
7/31/26,12:00:00,16:00:00,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,LIGHT,K_RUN1,5
7/31/26,12:00:00,16:00:00,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,LIGHT,K_RUN1,6
7/31/26,12:00:00,16:00:00,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,,K_RUN1,7
7/31/26,12:00:00,16:00:00,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,LIGHT,K_RUN1,8
7/31/26,12:00:00,16:00:00,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,LIGHT,K_RUN1,9
7/31/26,12:00:00,16:00:00,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,LIGHT,K_RUN1,10
8/4/26,16:50:00,17:09:00,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,DARK,K_RUN2,1
8/4/26,16:40:00,17:00:00,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,DARK,K_RUN2,2
8/4/26,16:39:00,17:09:00,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,DARK,K_RUN2,3
8/4/26,16:50:00,17:09:00,BLANK1,BLANK_RUN1,BLANK_O2.csv,DARK,K_RUN2,4
8/4/26,16:50:00,17:46:00,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,DARK,K_RUN2,5
8/4/26,16:50:00,17:55:00,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,DARK,K_RUN2,6
8/4/26,16:50:00,17:09:00,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,DARK,K_RUN2,7
8/4/26,16:45:00,17:07:00,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,DARK,K_RUN2,8
8/4/26,16:50:00,17:09:00,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,DARK,K_RUN2,9
8/4/26,16:50:00,17:09:00,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,DARK,K_RUN2,10
8/4/26,14:50:00,16:21:00,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,LIGHT,K_RUN2,1
8/4/26,14:50:00,16:21:00,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,LIGHT,K_RUN2,2
8/4/26,14:50:00,16:21:00,S1,S1.3_RUN1,S1.3_RUN1_O2.csv,LIGHT,K_RUN2,3
8/4/26,14:50:00,16:21:00,BLANK1,BLANK_RUN1,BLANK_O2.csv,LIGHT,K_RUN2,4
8/4/26,14:50:00,16:21:00,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,LIGHT,K_RUN2,5
8/4/26,14:50:00,16:21:00,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,LIGHT,K_RUN2,6
8/4/26,14:50:00,16:21:00,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,LIGHT,K_RUN2,7
8/4/26,14:50:00,16:21:00,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,LIGHT,K_RUN2,8
8/4/26,15:24:00,16:21:00,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,LIGHT,K_RUN2,9
8/4/26,14:50:00,16:21:00,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,LIGHT,K_RUN2,10
