sample_ID,weight_g,volume_mL,site_ID,chla,chamber_type
S1.3_RUN1,1,350,S1,1,BOD
S3.2_RUN1,1,350,S3,1,BOD
S2.3_RUN1,1,350,S2,1,BOD
S3.1_RUN1,1,350,S3,1,BOD
S1.2_RUN1,1,350,S1,1,BOD
S3.3_RUN1,1,350,S3,1,BOD
S2.1_RUN1,1,350,S2,1,BOD
S1.1_RUN1,1,350,S1,1,BOD
S2.2_RUN1,1,350,S2,1,BOD
S2.3_RUN2,1,350,S2,1,BOD
S3.2_RUN2,1,350,S3,1,BOD
S1.3_RUN2,1,350,S1,1,BOD
S3.1_RUN2,1,350,S3,1,BOD
S2.2_RUN2,1,350,S2,1,BOD
S1.1_RUN2,1,350,S1,1,BOD
S3.3_RUN2,1,350,S3,1,BOD
S2.1_RUN2,1,350,S2,1,BOD
S1.2_RUN2,1,350,S1,1,BOD
S1.1_RUN3,1,350,S1,1,BOD
S1.2_RUN3,1,500,S1,1,MASON
S1.3_RUN3,1,500,S1,1,MASON
S2.1_RUN3,1,350,S2,1,BOD
S2.2_RUN3,1,350,S2,1,BOD
S2.3_RUN3,1,500,S2,1,MASON
S3.1_RUN3,1,350,S3,1,BOD
S3.2_RUN3,1,500,S3,1,MASON
S3.3_RUN3,1,350,S3,1,BOD
S1.1_RUN4,1,350,S1,1,BOD
S1.2_RUN4,1,500,S1,1,MASON
S1.3_RUN4,1,500,S1,1,MASON
S1.4_RUN4,1,350,S1,1,BOD
S2.1_RUN4,1,500,S2,1,MASON
S2.2_RUN4,1,500,S2,1,MASON
S2.3_RUN4,1,350,S2,1,BOD
S2.4_RUN4,1,350,S2,1,BOD
