"PreSens Measurement Studio 2","4.0.0.2393",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"09/01/2026","10:29:08","8","default","203021452","SPOT__08","0.000","min","154.011","%a.s.","Humid","17.058","deg","3047","µV","21.661","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334226.98","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:09","8","default","203021452","SPOT__08","0.025","min","153.426","%a.s.","Humid","17.097","deg","3052","µV","21.658","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334197.61","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:10","8","default","203021452","SPOT__08","0.041","min","152.782","%a.s.","Humid","17.139","deg","3050","µV","21.667","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334136.17","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:11","8","default","203021452","SPOT__08","0.058","min","154.411","%a.s.","Humid","17.032","deg","3046","µV","21.657","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334116.43","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:12","8","default","203021452","SPOT__08","0.075","min","154.277","%a.s.","Humid","17.041","deg","3048","µV","21.655","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334092.76","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:13","8","default","203021452","SPOT__08","0.091","min","153.577","%a.s.","Humid","17.087","deg","3048","µV","21.658","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334055.94","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:14","8","default","203021452","SPOT__08","0.108","min","154.059","%a.s.","Humid","17.055","deg","3048","µV","21.659","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334069.39","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:15","8","default","203021452","SPOT__08","0.125","min","153.595","%a.s.","Humid","17.085","deg","3049","µV","21.667","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334068.11","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:16","8","default","203021452","SPOT__08","0.142","min","155.329","%a.s.","Humid","16.971","deg","3048","µV","21.666","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334047.74","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:17","8","default","203021452","SPOT__08","0.158","min","153.554","%a.s.","Humid","17.088","deg","3044","µV","21.664","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334041.57","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:18","8","default","203021452","SPOT__08","0.174","min","154.831","%a.s.","Humid","17.004","deg","3047","µV","21.662","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334040.15","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:19","8","default","203021452","SPOT__08","0.191","min","154.991","%a.s.","Humid","16.993","deg","3045","µV","21.667","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334029.04","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:20","8","default","203021452","SPOT__08","0.208","min","153.867","%a.s.","Humid","17.068","deg","3044","µV","21.656","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334021.70","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:21","8","default","203021452","SPOT__08","0.225","min","152.918","%a.s.","Humid","17.130","deg","3044","µV","21.667","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334031.75","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:22","8","default","203021452","SPOT__08","0.241","min","154.754","%a.s.","Humid","17.010","deg","3046","µV","21.651","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334015.20","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:23","8","default","203021452","SPOT__08","0.258","min","155.551","%a.s.","Humid","16.958","deg","3050","µV","21.650","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334009.85","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
"09/01/2026","10:29:24","8","default","203021452","SPOT__08","0.275","min","155.657","%a.s.","Humid","16.950","deg","3050","µV","21.662","°C","1012.000","hPa","0.0","pmil","0","55.520","deg","20.000","°C","100.000","%a.s.","22.200","deg","20.000","°C","989.000","hPa","0.824","-0.01264","0.000356","-0.00016","0","10.45","Humid","22.75","0","95.00","334012.43","SABD0000000001","AAV1.0.0.11","4.0.0.2393","PSt7-10","250114-001","9/1/2026 10:11:59 AM","0000-00","0","no battery","V","","µV","","µV"
